Morph-lemma,Morph-inflection
bruk,bruk
kvinne,kvinne
holde,holder
ball,ballen
familie,familien
ekstra,ekstra
juni,juni
stenge,stengt
gjerne,gjerne
verden,verdens
del,deler
lenge,lenger
tredje,tredje
fornøyd,fornøyd
ulik,ulike
spille,spilte
sentrum,sentrum
sted,sted
sted,steder
skje,skjedd
regjering,regjeringen
egen,egne
kjøre,kjørt
spille,spilt
ganske,ganske
burde,burde
liv,liv
jobb,jobben
september,september
klare,klarte
slå,slått
egen,eget
tro,tro
følge,følger
informasjon,informasjon
være,Er
score,scoret
sikte,siktet
slik,slike
skole,skolen
dø,døde
TV,TV
kraftig,kraftig
hevde,hevder
betale,betale
lett,lett
aller,aller
slutt,slutten
handle,handler
starte,starter
sommer,sommer
vise,vise
jobbe,jobbet
foreløpig,foreløpig
jobbe,jobbe
stadig,stadig
uke,uken
forbindelse,forbindelse
kontroll,kontroll
akkurat,akkurat
borte,borte
ulykke,ulykken
spiller,spillere
april,april
noen,Noen
oktober,oktober
februar,februar
føle,føler
øke,økt
medium,medier
vel,vel
politi,politi
svensk,svenske
ønske,ønsket
omgang,omgang
rask,raskt
be,ber
overfor,overfor
myndighet,myndigheter
forklare,forklarer
sette,satte
skole,skole
bekrefte,bekrefter
begynne,begynte
sette,setter
par,par
egentlig,egentlig
faktisk,faktisk
en,ei
kilometer,kilometer
sterk,sterkt
fra,Fra
tidlig,Tidligere
all,all
november,november
kjenne,kjenner
særlig,særlig
andre,andre
brann,brannen
lov,lov
hverandre,hverandre
form,form
kjøre,kjøre
bilde,bilder
sitte,satt
finne,finner
kvinne,kvinnen
direkte,direkte
nummer,nummer
åpne,åpnet
internasjonal,internasjonale
riktig,riktig
avis,avisen
politisk,politiske
død,død
viktig,viktigste
snakke,snakket
helg,helgen
politisk,politisk
hard,hardt
snakke,snakke
som,Som
både,Både
fortelle,fortalte
våpen,våpen
Gå,Gå
innen,innen
om,Om
krav,krav
formiddag,formiddag
fort,fort
fortsette,fortsette
ennå,ennå
sak,saker
nordmann,nordmenn
regjering,regjering
hovedmeny,hovedmeny
hovedinnhold,hovedinnhold
mulighet,mulighet
lage,laget
du,Du
publisert,Publisert
vente,ventet
år,års
arbeid,arbeid
parti,partiet
hvorfor,hvorfor
selskap,selskapet
bil,biler
bo,bor
at,At
tingrett,tingrett
nær,nærmere
imot,imot
sikre,sikre
uansett,uansett
skje,skje
klokke,klokka
varsle,varslet
fotball,fotball
høy,høy
ni,ni
nettopp,nettopp
falle,falt
melde,meldt
sykehus,sykehuset
skrive,skrev
glad,glad
land,landets
bygge,bygge
ferdig,ferdig
mobilversjon,mobilversjonen
hus,huset
ikkje,ikkje
bilde,bildet
frykte,frykter
enkelt,enkelte
valg,valget
vanlig,vanlig
bruke,brukes
hjelpe,hjelpe
gang,gangen
klare,klarer
ene,ene
man,Man
nei,nei
snakke,snakker
angrep,angrep
slå,slå
vite,vite
likevel,Likevel
utsette,utsatt
sak,sak
møte,møtte
OL,OL
svar,svar
total,totalt
publikum,publikum
video,video
kreve,krever
vinne,vunnet
behandling,behandling
valg,valg
sju,sju
eAvis,eAvis
antall,antall
stille,stille
bane,banen
start,start
ledelse,ledelsen
ligge,lå
rest,resten
periode,periode
trener,trener
skrive,skrevet
høy,høyere
opptatt,opptatt
ved,Ved
lang,lange
mens,Mens
velge,valgte
alene,alene
vise,vist
samle,samlet
samt,samt
statsminister,statsminister
grad,grad
kopi,Kopier
navn,navn
nord,nord
mene,mente
sterk,sterk
ansvar,ansvar
spennende,spennende
pause,pause
sikre,sikret
tenke,tenke
tvil,tvil
høy,høyt
hente,hentet
tiltak,tiltak
blant,Blant
vår,vårt
tre,Tre
virkelig,virkelig
nær,nær
forelder,foreldre
liten,små
vente,venter
havne,havnet
lokal,lokale
føre,føre
behov,behov
reise,reise
stille,stiller
snar,snart
velge,valgt
kjøpe,kjøpe
dere,dere
å,Å
all,Alle
sterk,sterke
klar,klare
spiller,spillerne
måte,måten
tape,tapte
lett,lettere
stemme,stemme
bruke,brukte
hus,hus
offentlig,offentlige
vold,vold
bekrefte,bekreftet
understreke,understreker
sommer,sommeren
begynne,begynner
lage,lage
snakk,snakk
velge,velger
sikker,sikkert
mat,mat
vann,vann
E,E
meget,meget
omfattende,omfattende
hundre,hundre
virke,virker
ein,ein
via,via
hode,hodet
vente,vente
skape,skape
side,siden
skade,skadd
høst,høst
beskjed,beskjed
siden,Siden
ferd,ferd
slett,slett
tiltale,tiltalt
enkel,enkelt
slite,sliter
bidra,bidra
sende,sendte
forslag,forslag
tap,tap
hvilken,hvilke
samarbeid,samarbeid
rykke,rykket
Trykk,Trykk
fare,fare
prøve,prøve
full,fullt
under,Under
tiltalt,tiltalte
of,of
arbeid,arbeidet
la,la
sosial,sosiale
nylig,nylig
myndighet,myndighetene
direktør,direktør
dag,dagene
gammel,eldre
viktig,viktige
tur,tur
pris,pris
tydelig,tydelig
venn,venner
enig,enige
utover,utover
politikk,politikk
involvere,involvert
øke,øke
ja,ja
bare,Bare
runde,runde
film,filmen
prøve,prøver
spill,spill
hete,heter
start,starten
slå,slår
kunne,Kan
like,liker
sekund,sekunder
fremdeles,fremdeles
daglig,daglig
bakke,bakken
endelig,endelig
føre,førte
sende,sende
selge,solgt
mange,flest
sånn,sånn
derimot,derimot
parti,partiene
hendelse,hendelsen
svare,svarer
forskjellig,forskjellige
tips,tips
historie,historie
klare,klare
langs,langs
dei,dei
lede,ledet
vegvesen,vegvesen
britisk,britiske
vurdere,vurdere
stat,staten
bilde,bilde
kritikk,kritikk
tenke,tenker
hente,hente
alvorlig,alvorlige
besøk,besøk
brann,brann
stoppe,stoppet
trening,trening
fortelle,fortelle
serie,serien
uke,uka
tro,trodde
måned,måned
offentlig,offentlig
drap,drap
melde,meldte
jente,jenta
rett,rette
innrømme,innrømmer
kommentere,kommentere
mulighet,muligheten
overraske,overrasket
tysk,tyske
hovedstad,hovedstaden
familie,familie
stemme,stemmer
ord,ord
delta,delta
disse,Disse
høre,høre
penge,pengene
tilbud,tilbud
FOTO,FOTO
drive,driver
forsøk,forsøk
tett,tett
kjenne,kjent
samfunn,samfunnet
bekymre,bekymret
ramme,rammet
ingenting,ingenting
seier,seieren
skade,skade
skyte,skutt
dersom,Dersom
vekk,vekk
pris,prisen
helst,helst
rolle,rolle
unngå,unngå
din,din
grei,greit
vinne,vinner
møte,møtt
advokat,advokat
fri,fri
operasjonsleder,operasjonsleder
øke,øker
be,bedt
oppleve,opplever
rapport,rapporten
tak,tak
område,områder
elev,elevene
topp,toppen
før,Før
dom,dommen
avslutte,avsluttet
drap,drapet
knytte,knyttet
ytterligere,ytterligere
trekke,trekker
fredag,Fredag
skape,skaper
skulle,Skal
gruppe,gruppe
russisk,russiske
enig,enig
kveld,kvelden
an,an
lang,lengre
true,truet
kommune,kommunene
velge,velge
mål,målet
midt,midt
min,mitt
fantastisk,fantastisk
mor,mor
oppdage,oppdaget
fransk,franske
far,faren
mandag,Mandag
påpeke,påpeker
spørsmål,spørsmålet
løsning,løsning
råd,råd
bord,bord
vite,visste
nyhetsbyrå,nyhetsbyrået
sikker,sikker
jente,jenter
dra,dro
tape,tapt
kaste,kastet
tall,tall
time,time
åpne,åpner
kalle,kaller
fly,fly
ønske,ønske
overgrep,overgrep
retning,retning
deretter,deretter
film,film
såkalt,såkalte
høst,høsten
løp,løp
nødvendig,nødvendig
privat,private
liten,lille
slippe,slipper
søndag,Søndag
først,Først
problem,problem
styrke,styrke
ansvar,ansvaret
forelder,foreldrene
reise,reiser
legge,legges
situasjon,situasjon
føre,ført
AV,AV
innenfor,innenfor
skrive,skrive
kjøre,kjører
tur,turen
økonomisk,økonomiske
håp,håp
landslag,landslaget
halv,halv
forslag,forslaget
slags,slags
politiker,politikere
flytte,flytte
gjennomføre,gjennomført
avtale,avtale
bestemme,bestemt
leve,lever
økonomisk,økonomisk
lære,lære
Journalist,Journalist
kanskje,Kanskje
selvsagt,selvsagt
syv,syv
lag,lagene
torsdag,Torsdag
utenlandsk,utenlandske
fin,fint
gjøre,gjøres
be,ba
elev,elever
høy,høye
møte,møtet
starte,starte
kritisk,kritisk
pasient,pasienter
vei,veier
reagere,reagerer
føre,fører
tyde,tyder
avgjørende,avgjørende
sikkerhet,sikkerhet
kropp,kroppen
onsdag,Onsdag
nærhet,nærheten
mulighet,muligheter
min,mine
nær,nærmest
bok,bok
vurdere,vurderer
begge,Begge
lørdag,Lørdag
prosjekt,prosjektet
historie,historien
far,far
kamp,kampene
flytte,flyttet
få,færre
øke,økte
nivå,nivå
årsak,årsaken
alvor,alvor
tusen,tusen
spor,spor
naturlig,naturlig
intervju,intervju
forbi,forbi
felles,felles
skuffe,skuffet
kommune,kommuner
frakte,fraktet
utvikling,utvikling
omtrent,omtrent
politiker,politikerne
utrolig,utrolig
åpen,åpen
inntil,inntil
fokus,fokus
fremre,fremst
normal,normalt
gal,galt
angrep,angrepet
lav,lavere
rapport,rapport
betydelig,betydelig
parti,parti
avtale,avtalen
debatt,debatt
president,presidenten
utvikling,utviklingen
lede,leder
voksen,voksne
lese,lese
flertall,flertall
fjerne,fjerne
flott,flott
ettertid,ettertid
plan,planen
politi,politiets
klare,klart
utland,utlandet
svare,svare
fungere,fungerer
videregående,videregående
tilgang,tilgang
dra,dra
selge,selge
økning,økning
sjanse,sjanse
endring,endringer
hvilken,hvilken
trekke,trekke
annerledes,annerledes
skikkelig,skikkelig
komme,kommende
by,by
sen,sent
fin,fin
bilde,bildene
sak,Saken
redde,reddet
advare,advarer
endre,endre
topp,topp
minutt,minutt
innsats,innsats
amerikansk,amerikansk
mor,moren
leve,leve
nekte,nektet
stå,stått
manager,manager
prege,preget
plutselig,plutselig
glede,gleder
kjempe,kjempe
folk,Folk
kilo,kilo
rom,rom
musikk,musikk
rad,rad
all,alt
fremtid,fremtiden
per,per
enten,enten
jente,jentene
forsvinne,forsvant
dollar,dollar
møtes,møtes
følge,fulgte
fart,fart
brudd,brudd
selve,selve
stede,stede
vare,vare
stadion,stadion
anmelde,anmeldt
hel,Hele
buss,bussen
kjent,kjente
periode,perioden
trafikk,trafikken
forsøke,forsøkte
føde,født
vond,verste
deretter,Deretter
ulovlig,ulovlig
ellers,ellers
farlig,farlig
pressekonferanse,pressekonferanse
planlegge,planlagt
lov,loven
stund,stund
fjerde,fjerde
kjemisk,kjemiske
klubb,klubb
glede,glede
over,Over
mye,meste
positiv,positivt
pressemelding,pressemelding
hensyn,hensyn
befolkning,befolkningen
beskrive,beskriver
forsvarer,forsvarer
halvpart,halvparten
stoppe,stoppe
avis,avisa
kontrakt,kontrakt
nekte,nekter
redd,redd
søke,søke
drepe,drepte
sitte,sitte
mangle,mangler
vitne,vitner
nest,nest
sør,sør
forstå,forstår
fremover,fremover
fire,Fire
høre,hørt
slippe,slippe
omkomme,omkom
kjøpe,kjøpt
la,lar
forsøke,forsøkt
nett,nettet
utvikle,utvikle
helg,helg
oppleve,opplevd
bok,boken
tilfelle,tilfeller
vann,vannet
finale,finalen
dansk,danske
endre,endret
støtte,støtter
tenke,tenkt
selvfølgelig,selvfølgelig
brev,brev
begynnelse,begynnelsen
oppe,oppe
stjele,stjålet
skyldes,skyldes
ungdom,ungdom
scene,scenen
overraske,overraskende
grunnlag,grunnlag
plan,planer
lese,lest
million,million
medlem,medlemmer
lyst,lyst
opplysning,opplysninger
eliteserie,eliteserien
resultat,resultater
oversikt,oversikt
hjemmebane,hjemmebane
suksess,suksess
vinter,vinter
oppmerksomhet,oppmerksomhet
plass,plassen
navn,navnet
forhold,forholdet
avvise,avviser
helg,helga
umulig,umulig
avslutte,avslutter
alle,Alle
sønn,sønnen
skaffe,skaffe
marked,markedet
etterpå,etterpå
vanlig,vanlige
press,press
praksis,praksis
koste,koster
følge,fulgt
sjanse,sjanser
erfaring,erfaring
bolig,bolig
båt,båten
ta,tas
tak,taket
like,Like
følgende,følgende
skole,skoler
gjennomføre,gjennomføre
fylke,fylket
gruppe,gruppen
dårlig,dårlige
debatt,debatten
stanse,stanset
tilsvare,tilsvarende
nett,nett
gull,gull
registrere,registrert
nødt,nødt
dyr,dyr
alkohol,alkohol
behandle,behandlet
død,døde
bidra,bidrar
tabell,tabellen
vedta,vedtatt
eventuell,eventuelt
dele,delt
kjempe,kjemper
grense,grensen
sjanse,sjansen
slik,slikt
spiller,spiller
nordmann,nordmannen
bakgrunn,bakgrunn
medium,media
føle,følte
utgangspunkt,utgangspunktet
oppleve,oppleve
sende,sender
miste,mister
usikker,usikker
hånd,hånd
interesse,interesse
problem,problemet
gjest,gjestene
type,type
lignende,lignende
redusere,redusere
fordel,fordel
erstatning,erstatning
skape,skapte
ha,Hadde
sentral,sentrale
slag,slag
hjemmelag,hjemmelaget
stråle,strålende
redusere,redusert
dreie,dreier
venn,venn
positiv,positiv
ligge,ligge
svare,svarte
arrestere,arrestert
jente,jente
spiss,spissen
altfor,altfor
lys,lys
aksjon,aksjon
skudd,skudd
helse,helse
drive,drive
område,områdene
hevde,hevdet
gratis,gratis
basere,basert
konsekvens,konsekvenser
datter,datteren
kalle,kalt
redde,redde
tøff,tøff
satse,satse
relativ,relativt
kunnskap,kunnskap
årsak,Årsaken
nasjonal,nasjonale
hindre,hindre
brannvesen,brannvesenet
resultat,resultat
treffe,traff
fly,flyet
vekt,vekt
stilling,stilling
trene,trene
konkurranse,konkurranse
spørre,spør
hvordan,Hvordan
rettssak,rettssaken
bryte,brøt
tilgjengelig,tilgjengelig
narkotika,narkotika
karriere,karrieren
vær,vær
betale,betalt
økonomi,økonomi
tanke,tanke
soldat,soldater
verken,verken
snø,snø
kvinne,kvinnene
sak,sakene
undersøkelse,undersøkelse
ledelse,ledelse
område,område
bestemme,bestemte
OGSÅ,OGSÅ
nede,nede
peke,peker
bevis,bevis
falle,faller
love,lover
moderering,moderering
no,no
verdt,verdt
delta,deltok
skape,skapt
forlate,forlate
regne,regner
merke,merke
rødgrønn,rødgrønne
miste,miste
samfunn,samfunn
avhør,avhør
buss,buss
alt,Alt
ung,ung
hjelpe,hjelper
mål,Målet
talsmann,talsmann
begynne,begynne
kultur,kultur
mann,mennene
samisk,samiske
positiv,positive
rette,rettet
scoring,scoring
utfordring,utfordringer
mye,Mer
absolutt,absolutt
brannvesen,Brannvesenet
fjerne,fjernet
halv,halvt
forklare,forklarte
løpe,løp
forkant,forkant
forskning,forskning
forstå,forstå
måned,måneden
sørge,sørget
fortelle,fortalt
kvinnelig,kvinnelige
stand,stand
mistenke,mistenkt
telefon,telefon
levere,levert
fjell,fjellet
salg,salg
antall,antallet
hittil,hittil
spansk,spanske
hvit,hvite
undersøkelse,undersøkelser
resultat,resultatet
neppe,neppe
åpen,åpent
europeisk,europeiske
sjekke,sjekke
etterforskning,etterforskning
dessuten,Dessuten
solid,solid
fullstendig,fullstendig
oppfordre,oppfordrer
forklaring,forklaring
forhold,forholdene
video,videoen
sørge,sørge
ny,Ny
jul,jul
uttale,uttalte
annen,Andre
innføre,innføre
stå,stod
kvinne,Kvinnen
spørre,spurte
regel,regler
personlig,personlig
utgjøre,utgjør
åpen,åpne
internasjonal,internasjonal
grunn,grunnen
uke,ukene
innebære,innebærer
måte,måter
lykkes,lykkes
ettersom,ettersom
populær,populære
vær,været
ressurs,ressurser
fyr,fyr
krig,krigen
trussel,trusler
VM,VM
oppdrag,oppdrag
ungdom,ungdommer
sende,sendes
barn,barnet
svensk,svensk
utdanning,utdanning
etappe,etappe
bok,boka
takke,takket
gutt,gutter
type,typen
presse,pressen
program,programmet
kø,kø
frå,frå
skjønne,skjønner
høre,hører
nøye,nøye
begynne,begynt
måtte,Må
land,landene
aktuell,aktuelle
ekstrem,ekstremt
utvikle,utviklet
vanskelig,vanskelige
risikere,risikerer
passe,passer
ukjent,ukjent
felt,feltet
trafikk,trafikk
dessuten,dessuten
dårlig,dårligere
slite,slitt
foreslå,foreslår
satse,satser
spill,spillet
nær,nærmeste
fysisk,fysisk
oppleve,opplevde
umiddelbar,umiddelbart
eg,eg
forsøke,forsøker
utføre,utført
befinne,befinner
dele,deler
hvor,Hvor
slippe,slapp
sjelden,sjelden
sykdom,sykdom
trekke,trakk
norsk,Norske
styre,styre
løs,løs
sette,settes
sammen,Sammen
vurdering,vurdering
kunde,kunder
natt,natten
privat,privat
bil,bilene
allerede,Allerede
rettighet,rettigheter
ødelegge,ødelagt
oppgave,oppgave
skade,skadene
sannsynlig,sannsynlig
flyplass,flyplassen
innbygger,innbyggere
gutt,gutt
spille,spilles
arbeide,arbeidet
uklar,uklart
tirsdag,Tirsdag
dessverre,dessverre
bolig,boliger
tall,tallene
tonn,tonn
gutt,gutten
motta,mottatt
noensinne,noensinne
beholde,beholde
tide,tide
syrisk,syriske
tall,tallet
høy,høyeste
strak,strake
total,Totalt
tolv,tolv
bok,bøker
nestleder,nestleder
inneholde,inneholder
midt,midten
etterforskning,etterforskningen
henge,henger
melding,meldinger
dukke,dukket
søke,søkt
bo,bo
bygge,bygget
åpne,åpne
bestå,består
hvorfor,Hvorfor
fortsette,fortsatte
avhengig,avhengig
ringe,ringte
sammenheng,sammenheng
gate,gate
lei,lei
grad,grader
melde,melde
sammenligne,sammenlignet
stolt,stolt
kjempe,kjempet
enorm,enorme
ordføre,ordfører
trener,treneren
vind,vind
huske,husker
uttrykk,uttrykk
underveis,underveis
løsning,løsninger
debatt,Debatten
Mye,Mest
motstand,motstand
trygg,trygt
militær,militære
leilighet,leilighet
makt,makt
hans,Hans
kriminell,kriminelle
vår,våren
sjef,sjef
bedrift,bedrifter
klokke,Klokken
artikkel,artikkelen
mye,Mye
syk,syk
hver,Hver
hvem,Hvem
løse,løse
Den,Den
ambulanse,ambulanse
imponere,imponert
lav,lav
betale,betaler
hold,hold
eit,eit
savn,savnet
moderne,moderne
dele,dele
sikker,sikre
tillit,tillit
valgkamp,valgkampen
vurdere,vurdert
stille,stilt
søke,søker
be,be
journalist,journalister
kjøpe,kjøper
båt,båt
tenke,tenkte
trekke,trukket
søndag,søndagens
drøy,drøyt
dra,drar
delvis,delvis
liten,minste
innrømme,innrømmet
del,delen
internett,internett
student,studenter
fem,Fem
psykisk,psykisk
utenriksminister,utenriksminister
anledning,anledning
rød,røde
bygge,bygges
rygg,ryggen
engelsk,engelske
passasjer,passasjerer
forvente,forventer
språk,språk
diskutere,diskutere
stå,stående
gøy,gøy
parti,partier
presse,presse
forsvinne,forsvinner
minne,minner
respekt,respekt
utfordring,utfordring
cirka,cirka
evakuere,evakuert
såkalt,såkalt
plassere,plassert
vitne,vitne
fri,fritt
få,Får
knapp,knapt
tegn,tegn
form,formen
merke,merket
uttale,uttalt
gjenstå,gjenstår
sterk,sterkere
prøve,prøvde
betydning,betydning
ende,ende
kone,kone
dramatisk,dramatisk
straff,straff
synspunkt,synspunkter
flyktning,flyktninger
vest,vest
organisasjon,organisasjonen
side,sider
selge,selger
selskap,selskap
venstre,venstre
undersøke,undersøke
varsle,varsler
bli,Blir
km,km
pårørende,pårørende
lage,lager
presse,presset
leder,Leder
nettsted,nettsteder
tung,tungt
keeper,keeper
telefon,telefonen
olje,olje
koste,kostet
alternativ,alternativ
kutte,kutte
opprette,opprettet
mengde,mengder
leder,lederen
kreve,krevende
love,lovet
voldtekt,voldtekt
gruppe,grupper
vis,vis
konkurranse,konkurransen
tale,tale
oppgjør,oppgjør
trist,trist
regne,regnes
døgn,døgn
italiensk,italienske
syk,syke
ekte,ekte
lønn,lønn
strøm,strøm
Det,Det
posisjon,posisjon
klubb,klubber
anlegg,anlegget
øyeblikk,øyeblikket
tøff,tøft
kriminalitet,kriminalitet
kilde,kilder
måned,månedene
forklare,forklare
felt,felt
sikte,siktede
foregå,foregår
kveld,kveldens
dommer,dommeren
tid,tider
tog,tog
sikt,sikt
passe,passe
tilbud,tilbudet
etappe,etappen
rar,rart
tilfelle,tilfelle
bortebane,bortebane
vare,varer
øke,økende
syn,syn
plan,plan
samarbeid,samarbeidet
sjø,sjøen
alder,alder
stor,størst
fjorår,fjorårets
medium,mediene
nåværende,nåværende
delta,deltar
skyte,skjøt
femte,femte
pund,pund
mistanke,mistanke
kritikk,kritikken
kvalitet,kvalitet
forbud,forbud
person,personen
favoritt,favoritt
mangle,manglende
reise,reiste
risiko,risiko
fange,fanget
savne,savnet
kone,kona
likhet,likhet
utgangspunkt,utgangspunkt
din,ditt
styrke,styrker
bil,Bilen
spesiell,spesiell
bestemme,bestemme
bo,bodde
spørre,spurt
muslimsk,muslimske
Minst,Minst
samtlige,samtlige
kompetanse,kompetanse
generell,generelt
snu,snu
varetekt,varetekt
interessant,interessant
sist,Sist
butikk,butikken
ansatt,ansatt
svart,svart
sannsynligvis,sannsynligvis
enkel,enklere
tidspunkt,tidspunkt
besøke,besøkte
stille,stilte
skille,skiller
slippe,sluppet
teknisk,tekniske
kommentar,kommentar
problem,problemene
dom,dom
neste,Neste
leilighet,leiligheten
pasient,pasientene
uavgjort,uavgjort
kniv,kniv
elleve,elleve
vond,vondt
argument,argumenter
vanskelig,vanskeligere
fortjene,fortjener
opplyse,opplyste
klær,klær
klasse,klasse
bytte,byttet
avhøre,avhørt
lørdag,lørdagens
rask,raskere
tjeneste,tjenester
vekst,vekst
velger,velgerne
vegne,vegne
prosess,prosessen
levere,leverte
forsiktig,forsiktig
aktuell,aktuelt
utstyr,utstyr
hel,Helt
reaksjon,reaksjoner
fin,fine
virke,virket
middel,midler
bein,beina
